Column,lat,lng,label_place_of_publication,20,city,country,language,dates_of_reprints,date,time,date 3,cartodb_id,translator_s,title,publisher,number_of_printings_and_or_editions,sales_figures_if_known,link_to_cover,link_to_sound_file_of_title,notes,source__w__worldcat__it__index_translationum,X_column,Column 23
349,56.85229858,53.22746771,Izhevsk,Izhevsk,Izhevsk,Russia,Russian,0,1991,01/01/1991 00:00,,349,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Ural-BISI,1,NA,,,First Izhevsk edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,NA,
,64.557776,40.602611,Arcangelo,Arcangelo,Arcangelo,Russia,Russian,0,1992,01/01/1992 00:00,,,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Severo-zapadnoe kn. Izdatel'stvo/VPPO,,,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,,
,55.034244,82.9425,Novosibirsk,Novosibirsk,Novosibirsk,Russia,Russian,0,1992,01/01/1992 00:00,,,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Kn. Izdatel'stvo,,,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,,
493,38.56695977,68.77168025,Dushanbe,Dushanbe,Dushanbe,Tajikistan,Russian,0,1992,01/01/1992 00:00,,493,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,ADIB,1,NA,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,NA,
,56.048481,92.904056,Krasnoyarsk,Krasnoyarsk,Krasnoyarsk,Russia,Russian,0,1992,01/01/1992 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Grotesk,,,,,First Krasnoyarsk edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
,54.97829,73.394472,Omsk,Omsk,Omsk,Russia,Russian,0,1992,01/01/1992 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,B.m.: b.i.,,,,,First Omsk edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
24,53.89726145,27.54573439,Minsk,Minsk,Minsk,Belarus,Russian,"1994, 2009, 2010, 2011",1993,01/01/1993 00:00,,24,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Sovremennaia lit-ra,2,NA,,,"Published in a single volume with Rozhdestvo v Indii by Barbara Ford; 1994 edition is with Literatura; 2009, 2010, and 2011 with Kharvest. May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,NA,
,56.998445,40.975918,Ivanovo,Ivanovo,Ivanovo,Russia,Russian,0,1993,01/01/1993 00:00,,,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Tovarischestvo 'Vol'noe slovo',,,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,,
,54.723186,20.505696,Kalinigrad,Kaliningrad,Kalinigrad,Russia,Russian,0,1993,01/01/1993 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Kaliningradskoe kn. Izdatel'stvo,,,,,First Kalinigrad edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
,55.832806,49.136361,Kazan,Kazan,Kazan,Russia,Russian,0,1993,01/01/1993 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Tararskoe kn. Izdatel'stvo,,,,,First Kazan edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
,56.513282,84.98673,Tomsk,Tomsk,Tomsk,Russia,Russian,0,1993,01/01/1993 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Izdatel'stvo Tomskogo universiteta,,,,,First Tomsk edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
25,53.89726145,27.54573439,Minsk,Minsk,Minsk,Belarus,Russian,0,1994,01/01/1994 00:00,,25,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Vyshėĭshai︠a︡ Shkola,1,NA,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,NA,
359,55.75881223,37.62485951,Moscow,Moscow,Moscow,Russia,Russian,0,1994,01/01/1994 00:00,,357,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Kudozhestvennai︠a︡ Literatura,1,NA,,,"May reproduce either the original Stanevich translation or the text as augmented by Gurova (Moscow, 1990)",,NA,
,51.83382,107.673807,Ulan-Ude,Ulan-Ude,Ulan-Ude,Russia,Russian,0,1994,01/01/1994 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Buryatskoe kn. Izdatel'stvo,,,,,First Ulan-Ude edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
,43.500469,43.628194,Nal'chik,Nal'chik,Nal'chik,Russia,Russian,0,1997,01/01/1997 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,El'-fa,,,,,First Nal'chik edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
360,55.75881223,37.62485951,Moscow,Moscow,Moscow,Russia,Russian,"2003, 2004, 2005, 2005, 2005, 2005, 2005, 2007, 2007, 2007, 2009, 2010, 2010, 2010, 2010, 2010, 2011, 2011, 2011, 2011, 2013, 2015, 2016, 2016, 2016, 2017, 2017, 2017, 2018, 2018, 2018, 2019, 2019, 2019, 2019, 2020, 2020, 2021, 2021, 2021, 2021",1999,01/01/1999 00:00,,358,I. G. Gurova,Джейн Эйр / Dzheĭn Ėĭr / Jane Eyre,AST,1,NA,,,"Subsequent printings with the same publisher except: the fourth 2005 publication which is with Literatura: mir knigi; 2005(v) with Geleos; 2005(iii) and 2007(ii) with Profizdat; 2007(i) and 2015 with TERRA; 2007(iii) with Komsomol'skaya pravda;  2011(iv) and 2018(ii) with Inostranka; 2016(ii) and 2016(iii) with Martin; 2017(ii) and 2021(iii) with Veche; 2017(iii) with Vremja; 2018(iii) with Al'fa-kniga; 2019(v) with Rech'; 2020(ii) with NEB Svet; 2021(iv) with ROSMEN. This translation was later republished in St Petersburg (2006) and Belarus (2011), and probably elsewhere",,NA,
,59.95086979,30.28333756,St Petersburg,St Petersburg,St Petersburg,Russia,Russian,"2008, 2009, 2010, 2011, 2012, 2012, 2013, 2013, 2013, 2014, 2014, 2015, 2015, 2016, 2017, 2019, 2020",2006,01/01/2006 00:00,,,I. G. Gurova,Джейн Эйр / Dzheĭn Ėĭr / Jane Eyre,Azbuka-klassika,,,,,"First St Petersburg edition of the Gurova translation originally published in Moscow in 1999; reprints with the same publisher except 2012(ii) with Leninzdat, and 2019 with Rech'",,,
370,44.936235,-93.463948,Minnetonka,Minnetonka,Minnetonka,USA,Russian,0,2006,01/01/2006 00:00,,370,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Russian publisher unknown; distributed by East View Information Services in the USA,1,NA,,,"May reprint the Stanevich, Stanevich-Gurova, or Gurova text",,NA,
26,53.91509765,27.53838066,Minsk,Minsk,Minsk,Belarus,Russian,0,2011,01/01/2011 00:00,,26,I. G. Gurova,Джейн Эйр /Dzheĭn Ėĭr / Jane Eyre,"Harvest, peč",1,NA,,,First Minsk edition of the Gurova translation originally published in Moscow in 1999,,NA,
535,49.98455377,36.25664937,Charkiv,Charkiv,Charkiv,Ukraine,Russian,0,2011,01/01/2011 00:00,,534,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,Izdatelʹstvo Klub Semeĭnogo Dosuga,1,NA,,,"Likely to reprint the Stanevich, Stanevich-Gurova, or Gurova text",,NA,
,48.518204,135.092789,Chabarovsk,Chabarovsk,Chabarovsk,Russia,Russian,0,2019,01/01/2019 00:00,,,Unknown,Джен Эйр / Dzhen Eĭr / Jane Eyre,TOGU,,,,,Learning aid for English,,,
,47.235411,39.702004,Rostov on Don,Rostov on Don,Rostov on Don,Russia ,Russian ,0,1992,01/01/1992 00:00,,,V. O. Stanevich,Джен Эйр / Dzhen Eĭr / Jane Eyre,Germes,,,,,First Rostov edition of the Stanevich translation originally published in Moscow and St Petersburg in 1950,,,
378,44.80120314,20.4499989,Belgrade,Belgrade,Belgrade,Serbia,Serbian,"1953, 1964, 1965, 1966, 1967, 1971, 1973, 1976, 1978, 1980, 1986, 1990, 1994, 2011, 2012, 2014, 2016, 2017",1952,01/01/1952 00:00,,377,Radmila Todorović,Џејн Ејр / Jane Eyre ,Novo pokolenje,20,NA,,,Also republished in Novi Sad (2012),COBISS,NA,
28,43.86545872,18.41036981,Sarajevo,Sarajevo,Sarajevo,Bosnia,Serbian,0,1990,01/01/1990 00:00,,28,Budislava Šćekić,"Džejn Ejr, buntovnica / Jane Eyre, the Rebel ",Oslobođenje,1,NA,,,Abridged by Eugenio Sotillos,COBISS,NA,
379,45.26163753,19.86037718,Novi Sad,Novi Sad,Novi Sad,Serbia,Serbian,0,2012,01/01/2012 00:00,,379,Radmila Todorović, Džejn Ejr / Jane Eyre,Kuća dobre knjige,20,NA,,,First Novi Sad edition of the translation originally published in Belgrade in 1952 ,COBISS,NA,
471,6.926750338,79.86206664,Colombo,Colombo,Colombo,Sri Lanka,Sinhalese,0,2000,01/01/2000 00:00,,471,R. N. H. Perera,ජේන් අයර් / Jane Ayar / Jane Eyre ,M. D. Gunasena and Company,1,NA,https://www.dropbox.com/s/aer9iytc08tfq9t/2000%20Perera.jpg?dl=0,,,IT,NA,
470,6.926750338,79.86206664,Colombo,Colombo,Colombo,Sri Lanka,Sinhalese,0,2015,01/01/2015 00:00,,470,Pramitha Rohini Wanigaratne,Jane Eyre,Sarasavi Publishing,1,NA,https://www.dropbox.com/s/csq3ner7fz6na5d/2015%20Wanigaratne.jpg?dl=0,,,WorldCat,NA,
,48.15806457,17.14350382,Bratislava,Bratislava,Bratislava,Slovakia,Slovak,"1964, 1985",1954,01/01/1854 00:00,,,Štefan Kýška,Jana Eyrová ,Mladé letá,,,,,,,,
381,46.54505875,15.65251367,Maribor,Maribor,Maribor,Slovenia,Slovenian,0,1955,01/01/1955 00:00,,381,France Borko & Ivan Dolenc,Sirota iz Lowooda / Orphan of Lowood ,Večer,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Slovenian/1955%20Borko%20%26%20Dolenc.emf?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Slovenian/1955%20Borko%20%26%20Dolenc.m4a?role=personal,,COBISS,NA,
382,46.64939316,16.15926679,Murska Sobota,Murska Sobota,Murska Sobota,Slovenia,Slovenian,1980,1970,01/01/1970 00:00,,382,Božena Legiša-Velikonja,Sirota iz Lowooda / Orphan of Lowood ,Pomurska založba,3,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Slovenian/1970%20Legi%C5%A1a-Velikonja.emf?role=personal,,Later republished in Ljubljana,COBISS,NA,
380,46.05530758,14.51269498,Ljubljana,Ljubljana,Ljubljana,Slovenia,Slovenian,0,1991,01/01/1991 00:00,,380,Božena Legiša-Velikonja,Jane Eyre,Založništvo slovenske knjige,3,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Slovenian/1991%20Legi%C5%A1a-Velikonja.emf?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Slovenian/1991%20Legi%C5%A1a-Velikonja.m4a?role=personal,First Ljubljana edition (with a new title) of the Legiša-Velikonja translation originally published in  Murska Sobota in 1970,COBISS,NA,
,48.84399736,2.303048549,Paris,Paris,Paris,France,Spanish,0,1849,01/01/1849 00:00,,,Unknown,Juana Eyre: Memorias de un aya,Administración del Correo de Ultramar (Xavier de Lassalle) ,,,,,"Translated from 'Old Nick''s French version first published in Brussels in 1849: here 'Oldt-Nick' (sic) is given as author, with no mention of Brontë. Source: Jay Dillon Rare Books + Manuscripts. This Spanish translation is then re-published in Santiago de Chile; Havana, Cuba; Matanzas, Cuba; and La Paz, Bolivia during  1850-51",,,
,-33.41576712,-70.67001918,Santiago de Chile,Santiago de Chile,Santiago de Chile,Chile,Spanish,,1850,01/01/1850 00:00,,,Unknown,Juana Eyre. Memorias de un aya,Imprenta del Progreso,,,,,"Serialisation in the newspaper El Progreso, 7th February - 4th April. Author is given as 'Oldt-Nick', with no mention of Brontë, as in the Paris 1849 translation which this edition reprints (like the other editions in Havana, Matanzas and La Paz during 1850-51)",,,
62,23.13965579,-82.37848276,Havana,Havana,Havana,Cuba,Spanish,0,1850,01/01/1850 00:00,,62,Unknown,Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess,Diario de la Marina,1,NA,,,"Serialisation in the newspaper Diario de la Marina from late December 1850 to mid-February 1851 (the text can be seen in University of Florida Digital Collections, but the run is incomplete); printed as a volume by Imprenta del Diaro de la Marina, 1851. Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, pp. 149–150. Jay Dillon points out that this is a reprint of the Spanish translation, first published in Paris in 1849, of 'Old Nick's French version published in Brussels: the same translation is also published in Santiago de Chile, Matanzas and La Paz during 1850-51",Odisea nº 17: Revista de estudios ingleses by Carmen García Navarro : https://books.google.co.uk/,NA,
,-16.49488856,-68.1232648,La Paz,La Paz,La Paz,Bolivia,Spanish,0,1851,01/01/1851 00:00,,,Unknown,Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess,La Época / Imprenta Paceña,,,,,Serialisation in the newspaper La Época. This translation is probably a reprint of Havana 1850-1851. Source: Jay Dillon Rare Books + Manuscripts,,,
,23.04049,-81.5855,Matanzas,Matanzas,Matanzas,Cuba,Spanish,0,1851,01/01/1851 00:00,,,Unknown,Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess,Imprenta de gobierno por S. M.,,,,,This translation is probably an incomplete reprint of Havana 1850-1851. Source: Jay Dillon Rare Books + Manuscripts,,,
545,40.72787716,-73.99786237,New York,New York,New York,USA,Spanish,"1898, 1903",1889,01/01/1889 00:00,,544,Leopoldo Terrero,Juana Eyre,D. Appleton y Compañía,3,NA,,,"Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",Odisea,NA,
422,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1945, 1958, 1976, 1996, 1998, 2003 ",1928,01/01/1928 00:00,,425,José Fernández Z,Juana Eyre,Juventud,4,NA,https://www.dropbox.com/s/u3dnppqsrnapa5y/1998_Fern%C3%A1ndez.jpg?dl=0,,"José Fernández Z is José Zendrera Flecha (1894-1969), owner and founder of the publisher Juventud. It is likely that Flecha was not himself the translator, and that he was registering the books under his name. Source: Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,Dropbox image is 1996 printing
432,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1928,01/01/1928 00:00,,435,Unknown,Juana Eyre,Mentora,1,NA,,,,Odisea,NA,
10,-34.56340368,-58.43369779,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Spanish,"1944, 1948, 1957",1941,01/01/1941 00:00,,3,M. E. Antonini,Jane Eyre,Acme Agency (Amadeo Bois),4,NA,https://www.dropbox.com/s/5hhc8qqhl5mtfp7/1944_Antonini.jpg?dl=0,,,,NA,Dropbox image is 1944 edition
3,-34.56340368,-58.43369779,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Spanish,0,1941,01/01/1941 00:00,,10,Unknown,Juana Eyre,Editorial Juventud Argentina,1,NA,https://www.dropbox.com/s/qrzf4r66xj9k3pm/1941_unknown.jpg?dl=0,,,Odisea,NA,
417,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1948, 1958, 1961, 1961, 1966, 1979, 1984, 1987, 1996, 1996, 1998, 2000, 2003, 2004, 2005",1943,01/01/1943 00:00,,420,Juan G. de Luaces,Jane Eyre,"Iberia, Joaquin Gil",32,NA,https://www.dropbox.com/s/ibne5an9muhfdhh/1943_de%20Luaces.jpg?dl=0,,"1961(ii) edition is with Vergara (Obras de Carlota, Emilia y Ana Bronte); 1984, 1987, 1996, 1998, 2000, 2003, and 2004 with Planeta; 2005 with Altaya; 1966, 1979, and 1996 with Círculo de Lectores. Later republished in Buenos Aires (1954 - ), Madrid (1967 - ) and Bogota (1985) ",Odisea,NA,
9,-34.56340368,-58.43369779,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Spanish,1946,1944,01/01/1944 00:00,,4,Rafeal Jiménez Orderiz,Jane Eyre,Sopena,6,NA,,,Later republished in Mexico City (1983 - ),Odisea,NA,
32,-33.41576712,-70.67001918,Santiago de Chile,Santiago de Chile,Santiago de Chile,Chile,Spanish,0,1944,01/01/1944 00:00,,33,Unknown,Jane Eyre,Zig-zag,1,NA,,,,Odisea,NA,
448,41.39146516,2.184223246,Barcelona ,Barcelona ,Barcelona ,Spain,Spanish,0,1945,01/01/1945 00:00,,451,Javier de Zengotita,Jane Eyre,Renguera,1,NA,https://www.dropbox.com/s/cb9dyxt9j9ehmrk/1946_de%20Zengotita.jpg?dl=0,,,Odisea,NA,
418,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1954, 1968, 1971, 1972, 1973, 1974, 1976",1945,01/01/1945 00:00,,421,Juan Ruiz de Larios,Jane Eyre,Bruguera,9,NA,,,,Odisea,NA,
467,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,0,1945,01/01/1945 00:00,,467,Unknown,Juana Eyre: novela completa / Jane Eyre: complete novel,Revista Literaria << Novelas y Cuentos >>,1,NA,https://www.dropbox.com/s/sd4q5fezo1lsaxt/1945_unknown.jpg?dl=0,,,Odisea,NA,
4,-34.56340368,-58.43369779,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Spanish,0,1946,01/01/1946 00:00,,9,Fernando M Ungría,Jane Eyre,W. M. Jackson,4,NA,,,Later republished in Barcelona (1952) and Mexico City (1968),Odisea,NA,
431,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1946,01/01/1946 00:00,,434,Rosa S. de Naveira,Jane Eyre,Molino,1,NA,,,,Odisea,NA,
456,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,"1949, 1953, 1959, 1962, 1974, 1990, 1994, 1997, 2009, 2012, 2016 ",1947,01/01/1947 00:00,,455,María Fernanda Peredá,Jane Eyre,Aguilar,11,NA,https://www.dropbox.com/s/hpsm5nmlc0b1oo3/1959_Fernanda%20Pered%C3%A1.jpg?dl=0,,"1990, 1994, 1997, 2009, 2012, and 2016 editions are with Orbis. Also published in Barcelona from 1972 on",Odisea,NA,
429,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,1961,1952,01/01/1952 00:00,,432,Fernando M Ungría,Jane Eyre,Éxito,4,NA,,,"First Barcelona edition of the translation originally published in Buenos Aires in 1946. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",Ortega thesis (2013),NA,
7,-34.56340368,-58.43369779,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Spanish,"1955, 1972, 2011, 2015",1954,01/01/1954 00:00,,6,Juan G. de Luaces,Jane Eyre,Espasa-Calpe Argentina,32,NA,,,First Buenos Aires edition of the translation originally published in 1943 in Barcelona,,NA,
428,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1956,01/01/1956 00:00,,431,Elena García Ortiz,Jane Eyre,Fama,1,NA,,,"Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",Ortega thesis (2013),NA,
425,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1962,01/01/1962 00:00,,428,José Villalva Pinyana,Jane Eyre,Toray,1,NA,,,"Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
419,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1979, 1996",1966,01/01/1966 00:00,,422,E. Vergara,Jane Eyre,Círculo de Lectores,2,NA,https://www.dropbox.com/s/i03oc8a9dus8h9y/1966_Vergara.jpg?dl=0,,,OT (2013),NA,
458,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,"1973, 1974, 1984, 1987, 1995, 1997, 1998, 2000, 2003, 2005, 2007, 2011",1967,01/01/1967 00:00,,457,Juan G. de Luaces,Jane Eyre,Espasa Calpe,32,NA,https://www.dropbox.com/s/kpcedvce9vzgyae/1987_de%20Luaces.jpg?dl=0,,"First Madrid edition of the translation originally published in Barcelona in 1943. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
283,19.45089533,-99.12860387,Mexico City,Mexico City,Mexico City,Mexico,Spanish,0,1968,01/01/1968 00:00,,283,Fernando M Ungría,Jane Eyre,Cumbre,4,NA,,,"First Mexico City edition of the translation originally published in Buenos Aires in 1946. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
424,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1972, 1977",1970,01/01/1970 00:00,,427,E. Reguera,Jane Eyre,Rodegar,1,NA,https://www.dropbox.com/s/16oytcgplbe5hya/1970_Reguera.jpg?dl=0,,,,NA,
460,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,0,1972,01/01/1972 00:00,,460,Camila Batlles,Jane Eyre,Salvat + Alianza Editorial,4,NA,,,"Later republished in Barcelona (1986). Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
447,41.37883483,2.084534733,Esplugas de Llobregat,Barcelona,Barcelona,Spain,Spanish,1977,1972,01/01/1972 00:00,,452,María Fernanda Pereda,Jane Eyre,Plaza & Janés,11,NA,,,"First Barcelona edition of the translation originally published in Madrid in 1947. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
435,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1973,01/01/1973 00:00,,438,J. Ribera,Jane Eyre,Petronio,1,NA,,,,OT (2013),NA,
,-33.41576712,-70.67001918,Santiago de Chile,Santiago de Chile,Santiago de Chile,Chile,Spanish,0,1974,01/01/1974 00:00,,,Jesus Sánchez Díaz,Jane Eyre,Paulinas,,,,,Abridged for younger readers.,,,
462,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,0,1976,01/01/1976 00:00,,462,Juan Alarcón Benito,Jane Eyre,Alonso,1,NA,,,"Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
439,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,0,1982,01/01/1982 00:00,,442,Eugenio Sotillos,Jane Eyre,Toray,1,NA,,,"Juvenile edition. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
282,19.45089533,-99.12860387,Mexico City,Mexico City,Mexico City,Mexico,Spanish,2004,1983,01/01/1983 00:00,,282,Rafael Jiménez Orderiz,Jane Eyre,Porrúa,6,NA,,,"First Mexico City edition of the translation originally published in Buenos Aires in 1944. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
57,4.658122943,-74.04384788,Bogota,Bogota,Bogota,Colombia,Spanish,0,1985,01/01/1985 00:00,,57,Juan G. de Luaces,Jane Eyre,Oveja Negra,32,NA,,,"First Bogota edition of the translation originally published in Barcelona in 1943. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
421,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"1987, 1995",1986,01/01/1986 00:00,,424,Camila Batlles,Jane Eyre,Salvat,4,NA,https://www.dropbox.com/s/45k366yswzyqbtb/1987_Batlles.jpg?dl=0,,First Barcelona edition of the translation originally published in Madrid in 1972,OT (2013),NA,
,-33.41576712,-70.67001918,Santiago de Chile,Santiago de Chile,Santiago de Chile,Chile,Spanish,0,1989,01/01/1989 00:00,,,S. Robles,Jane Eyre,Zig-Zag,,,,,Abridged for younger readers.,,,
468,40.42516551,-3.697994628,Madrid ,Madrid ,Madrid ,Spain,Spanish,0,1991,01/01/1991 00:00,,468,José Enrique Cubedo Fernández-Trapiella,Jane Eyre,Gaviota,1,NA,,,"Later republished in León (2013). Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
461,40.42516551,-3.697994628,Madrid,Madrid,Madrid,Spain,Spanish,"2006, 2008, 2008, 2009, 2012, 2016",1996,01/01/1996 00:00,,461,Elizabeth Power,Jane Eyre,Cátedra,5,NA,https://www.dropbox.com/s/ex83zx4rb4eywk3/1996_Power.jpg?dl=0,,"The 2006 and 2008 (ii) editions are with Alianza Editorial. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
444,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Spanish,"2003(i), 2003(ii), 2004, 2007, 2009, 2012, 2016",1999,01/01/2008 00:00,,448,Carmen Martín Gaite,Jane Eyre,Alba,4,NA,,,"2003(ii) and 2007 ith 2004 is with RBA. Source: M. Ortega Sáez, Traduccioes del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix",OT (2013),NA,
61,23.13965579,-82.37848276,Havana,Havana,Havana,Cuba,Spanish,,1999,01/01/1999 00:00,,61,Unknown,Jane Eyre,Instituto Cubano del Libro,4,NA,https://www.dropbox.com/s/j0xt50u5i7no4ma/1999_Mart%C3%ADn%20Gaite.jpg?dl=0,,Possibly a reprint of the 1999 Gaite translation published in Barcelona,OT (2013),NA,
